year,slug,count_yes,pct_yes
2019,candidate,418,0.0994
2019,public_positions,3891,0.9251
2019,other_public_positions,573,0.1362
2019,spouse_public_positions,805,0.1914
2019,own_business_employment,846,0.2011
2019,own_leave_of_absence,41,0.0097
2019,spouse_business_employment,1972,0.4689
2019,own_business_ownership,460,0.1094
2019,spouse_business_ownership,483,0.1148
2019,stock_transfer_to_family,249,0.0592
2019,own_officer_director,664,0.1579
2019,spouse_officer_director,356,0.0846
2019,own_real_estate,2854,0.6786
2019,spouse_real_estate,292,0.0694
2019,own_trust_real_estate,316,0.0751
2019,spouse_trust_real_estate,105,0.0250
2019,own_real_estate_transferred,119,0.0283
2019,spouse_real_estate_transferred,52,0.0124
2019,own_lien_mortgage_receivable,308,0.0732
2019,spouse_lien_mortgage_receivable,128,0.0304
2019,own_ma_bonds,113,0.0269
2019,spouse_ma_bonds,55,0.0131
2019,own_trust_ma_bonds,29,0.0069
2019,spouse_trust_ma_bonds,356,0.0846
2019,own_financial_investments,1183,0.2813
2019,spouse_financial_investments,436,0.1037
2019,own_trust_financial_investments,106,0.0252
2019,spouse_trust_financial_investments,80,0.0190
2019,primary_residence_mortgage,2998,0.7128
2019,other_property_mortgage,1132,0.2691
2019,spouse_other_mortgage,137,0.0326
2019,own_nonmortgage_debt,386,0.0918
2019,spouse_nonmortgage_debt,114,0.0271
2019,own_debt_forgiven,43,0.0102
2019,spouse_debt_forgiven,61,0.0145
2019,own_lobbyist_reimbursements,57,0.0136
2019,own_interested_party_reimbursements,14,0.0033
2019,spouse_lobbyist_reimbursements,27,0.0064
2019,spouse_interested_party_reimbursements,6,0.0014
2019,own_gifts_honoraria,30,0.0071
2019,spouse_gifts_honoraria,26,0.0062
2019,blind_trust,100,0.0238
2020,candidate,220,0.0543
2020,public_positions,3937,0.9711
2020,other_public_positions,528,0.1302
2020,spouse_public_positions,762,0.1880
2020,own_business_employment,664,0.1638
2020,own_leave_of_absence,31,0.0076
2020,spouse_business_employment,1896,0.4677
2020,own_business_ownership,399,0.0984
2020,spouse_business_ownership,442,0.1090
2020,stock_transfer_to_family,248,0.0612
