year,display_name,slug,rel_path,source_zip,source_entry,bytes
2019,"Aalto, Joanna B",Aalto__Joanna_B,2019\Aalto__Joanna_B.pdf,5-13-2026_4-39-03_AM.zip,"Aalto, Joanna B_5-13-2026 4-39-01 AM.pdf",149575
2019,"Abany, Stephen S",Abany__Stephen_S,2019\Abany__Stephen_S.pdf,5-13-2026_4-39-03_AM.zip,"Abany, Stephen S_5-13-2026 4-39-01 AM.pdf",150276
2019,"Abascal, Maria T.",Abascal__Maria_T,2019\Abascal__Maria_T.pdf,5-13-2026_4-39-03_AM.zip,"Abascal, Maria T.  _5-13-2026 4-39-01 AM.pdf",147927
2019,"Abati, Richard",Abati__Richard,2019\Abati__Richard.pdf,5-13-2026_4-39-03_AM.zip,"Abati, Richard  _5-13-2026 4-39-01 AM.pdf",147885
2019,"Abber, Joseph M",Abber__Joseph_M,2019\Abber__Joseph_M.pdf,5-13-2026_4-39-03_AM.zip,"Abber, Joseph M_5-13-2026 4-39-01 AM.pdf",149913
2019,"Abbott, Claire",Abbott__Claire,2019\Abbott__Claire.pdf,5-13-2026_4-39-03_AM.zip,"Abbott, Claire  _5-13-2026 4-39-01 AM.pdf",148713
2019,"Abdella, Andrew",Abdella__Andrew,2019\Abdella__Andrew.pdf,5-13-2026_4-39-03_AM.zip,"Abdella, Andrew  _5-13-2026 4-39-01 AM.pdf",153512
2019,"Abdoo, David C",Abdoo__David_C,2019\Abdoo__David_C.pdf,5-13-2026_4-39-03_AM.zip,"Abdoo, David C_5-13-2026 4-39-01 AM.pdf",149287
2019,"Abrams, Christine S",Abrams__Christine_S,2019\Abrams__Christine_S.pdf,5-13-2026_4-39-03_AM.zip,"Abrams, Christine S_5-13-2026 4-39-01 AM.pdf",150734
2019,"Abrams, Eleanor",Abrams__Eleanor,2019\Abrams__Eleanor.pdf,5-13-2026_4-39-03_AM.zip,"Abrams, Eleanor  _5-13-2026 4-39-01 AM.pdf",151323
2019,"Abrams, Laura B",Abrams__Laura_B,2019\Abrams__Laura_B.pdf,5-13-2026_4-39-03_AM.zip,"Abrams, Laura B_5-13-2026 4-39-01 AM.pdf",151783
2019,"Abreau, Claudia M",Abreau__Claudia_M,2019\Abreau__Claudia_M.pdf,5-13-2026_4-39-03_AM.zip,"Abreau, Claudia M_5-13-2026 4-39-01 AM.pdf",166591
2019,"Abreu-Hernandez, Viviana M",Abreu-Hernandez__Viviana_M,2019\Abreu-Hernandez__Viviana_M.pdf,5-13-2026_4-39-03_AM.zip,"Abreu-Hernandez, Viviana M_5-13-2026 4-39-01 AM.pdf",150525
2019,"Ackerman, Dana K",Ackerman__Dana_K,2019\Ackerman__Dana_K.pdf,5-13-2026_4-39-03_AM.zip,"Ackerman, Dana K_5-13-2026 4-39-01 AM.pdf",151445
2019,"Acosta, Rosalin",Acosta__Rosalin,2019\Acosta__Rosalin.pdf,5-13-2026_4-39-03_AM.zip,"Acosta, Rosalin  _5-13-2026 4-39-01 AM.pdf",158314
2019,"Adams, Bryan J",Adams__Bryan_J,2019\Adams__Bryan_J.pdf,5-13-2026_4-39-03_AM.zip,"Adams, Bryan J_5-13-2026 4-39-01 AM.pdf",144223
2019,"Adams, Jane",Adams__Jane,2019\Adams__Jane.pdf,5-13-2026_4-39-03_AM.zip,"Adams, Jane  _5-13-2026 4-39-01 AM.pdf",146177
2019,"Adams, Mary Elizabeth",Adams__Mary_Elizabeth,2019\Adams__Mary_Elizabeth.pdf,5-13-2026_4-39-03_AM.zip,"Adams, Mary Elizabeth  _5-13-2026 4-39-01 AM.pdf",148139
2019,"Adams, Philip",Adams__Philip,2019\Adams__Philip.pdf,5-13-2026_4-39-03_AM.zip,"Adams, Philip  _5-13-2026 4-39-01 AM.pdf",158296
2019,"Adams, Richard J",Adams__Richard_J,2019\Adams__Richard_J.pdf,5-13-2026_4-39-03_AM.zip,"Adams, Richard J_5-13-2026 4-39-01 AM.pdf",145385
2019,"Adams, Sandra L",Adams__Sandra_L,2019\Adams__Sandra_L.pdf,5-13-2026_4-39-03_AM.zip,"Adams, Sandra L_5-13-2026 4-39-01 AM.pdf",147072
