"DOR Code","Municipality","Fiscal Year","Total Outstanding Debt (Schedule A Part 10)","Equalized Values (EQV)","Outstanding Debt as a % of EQV","Population","Outstanding Debt Per Capita","GF Debt Service (Schedule A Part 2)","Total Budget","Debt Service as a % of Budget"
"001","Abington","2021","46,451,857","2,103,633,000","2.21%","16,516","2,813","4,494,902","61,548,844","7.30%"
"001","Abington","2022","43,465,421","2,379,458,500","1.83%","16,668","2,608","4,570,872","63,816,989","7.16%"
"001","Abington","2023","40,468,677","2,379,458,500","1.70%","17,062","2,372","4,463,146","64,239,144","6.95%"
"001","Abington","2024","45,697,281","2,693,823,800","1.70%","17,094","2,673","4,433,937","66,847,812","6.63%"
"001","Abington","2025","42,241,571","2,693,823,800","1.57%","16,965","2,490","5,086,436","68,545,294","7.42%"
"002","Acton","2021","30,476,270","4,597,929,200","0.66%","23,738","1,284","2,257,082","105,797,363","2.13%"
"002","Acton","2022","26,702,426","4,940,912,200","0.54%","23,662","1,128","3,116,131","108,949,726","2.86%"
"002","Acton","2023","22,973,580","4,940,912,200","0.46%","24,021","956","3,074,720","112,636,724","2.73%"
"002","Acton","2024","25,754,864","5,255,138,400","0.49%","23,846","1,080","1,384,329","115,181,078","1.20%"
"002","Acton","2025","32,134,863","5,255,138,400","0.61%","23,829","1,349","1,616,450","125,477,907","1.29%"
"003","Acushnet","2021","10,876,231","1,214,098,100","0.90%","10,580","1,028","510,430","32,481,401","1.57%"
"003","Acushnet","2022","9,839,523","1,346,443,900","0.73%","10,625","926","507,482","34,465,660","1.47%"
"003","Acushnet","2023","8,774,379","1,346,443,900","0.65%","10,559","831","572,077","36,617,175","1.56%"
"003","Acushnet","2024","7,747,555","1,630,578,800","0.48%","10,553","734","465,434","38,581,190","1.21%"
"003","Acushnet","2025","6,696,803","1,630,578,800","0.41%","10,585","633","479,706","40,594,057","1.18%"
"004","Adams","2021","3,995,703","525,826,800","0.76%","8,077","495","606,940","17,467,786","3.48%"
"004","Adams","2022","3,520,167","549,332,800","0.64%","8,010","439","583,761","17,442,388","3.35%"
"004","Adams","2023","3,045,673","549,332,800","0.55%","8,166","373","569,909","18,030,454","3.16%"
"004","Adams","2024","5,333,845","593,584,400","0.90%","8,100","658","557,829","19,605,696","2.85%"
"004","Adams","2025","8,353,132","593,584,400","1.41%","8,047","1,038","719,246","20,234,407","3.56%"
"005","Agawam","2021","19,593,591","3,067,519,900","0.64%","28,854","679","2,259,286","99,326,124","2.28%"
"005","Agawam","2022","17,012,999","3,286,756,800","0.52%","28,613","595","2,288,429","104,114,689","2.20%"
"005","Agawam","2023","14,481,577","3,286,756,800","0.44%","28,692","505","2,198,558","107,569,555","2.04%"
"005","Agawam","2024","12,405,047","3,580,768,800","0.35%","28,494","435","1,817,460","117,727,612","1.54%"
"005","Agawam","2025","10,426,177","3,580,768,800","0.29%","28,393","367","2,039,478","118,003,079","1.73%"
"006","Alford","2021","0","279,820,300","0.00%","491","0","166,625","1,784,663","9.34%"
"006","Alford","2022","0","279,886,100","0.00%","488","0","169,277","2,006,205","8.44%"
"006","Alford","2023","0","279,886,100","0.00%","486","0","169,034","1,935,526","8.73%"
"006","Alford","2024","0","308,074,200","0.00%","484","0","215,631","2,182,993","9.88%"
"006","Alford","2025","0","308,074,200","0.00%","483","0","119,050","2,248,490","5.30%"
"007","Amesbury","2021","53,237,940","2,273,556,700","2.34%","17,569","3,030","3,952,218","67,314,043","5.87%"
"007","Amesbury","2022","55,148,960","2,652,855,600","2.08%","17,532","3,146","3,445,746","69,648,208","4.95%"
"007","Amesbury","2023","50,631,370","2,652,855,600","1.91%","17,366","2,916","3,816,692","71,987,101","5.30%"
"007","Amesbury","2024","54,329,877","2,989,453,900","1.82%","17,269","3,146","3,923,638","77,378,516","5.07%"
"007","Amesbury","2025","54,274,186","2,989,453,900","1.82%","17,179","3,159","4,671,335","80,484,395","5.80%"
"008","Amherst","2021","11,850,000","2,516,974,800","0.47%","39,503","300","1,431,375","83,630,692","1.71%"
"008","Amherst","2022","10,340,000","2,727,618,700","0.38%","39,924","259","927,652","90,358,581","1.03%"
